a	a:
freista	f r ei s t a
freistandi	f r ei s t a n t I
freistingunni	f r ei s t i N k Y n I
frekar	f r E: k a r
frekara	f r E: k a r a
frekari	f r E: k a r I
frekast	f r E: k a s t
frekju	f r E: c Y
frekjulega	f r E: c Y l E G a
freknóttur	f r E h k n ou h t Y r
frekt	f r E x t
frelsari	f r E l s a r I
frelsi	f r E l s I
frelsis	f r E l s I s
frelsið	f r E l s I D
fremi	f r E: m I
fremja	f r E m j a
fremri	f r E m r I
fremst	f r E m s t
fremsta	f r E m s t a
fremsti	f r E m s t I
fremstu	f r E m s t Y
fremstur	f r E m s t Y r
fremur	f r E: m Y r
fresh	f r E s
fress	f r E s
frest	f r E s t
fresta	f r E s t a
frestað	f r E s t a D
fresti	f r E s t I
frests	f r E s t s
frestun	f r E s t Y n
frestur	f r E s t Y r
fresturinn	f r E s t Y r I n
frey	f r ei:
freyja	f r ei: j a
freyju	f r ei: j Y
freyr	f r ei: r
freys	f r ei: s
freysteinn	f r ei: s t ei t n_0
freyðivín	f r ei: D I v i n
friend	f r E n t
friendly	f r E n t l i
frikka	f r I h k a
frilla	f r I t l a
fringe	f r I n t s
frið	f r I: D
friða	f r I: D a
friðar	f r I: D a r
friðargæslusveit	f r I: D a r_0 c ai s t l Y s v ei t
friðarpípuna	f r I: D a r_0 p_h i p Y n a
friðarsamkomulagi	f r I: D a r_0 s a m k_h O m Y l ai j I
friðbjörnsson	f r I D p j 9 r_0 s O n
friðfinnur	f r I D f I n Y r
friðgeir	f r I D c ei r
friðgeirsson	f r I D c ei r_0 s O n
friðhelgi	f r I T h E l c I
friði	f r I: D I
friðjón	f r I D j ou n
friðjónsson	f r I D j ou n s O n
friðjónssonar	f r I D j ou n s O n a r
friðleifsdóttir	f r I D l ei f s t ou h t I r
friðleifsdóttur	f r I D l ei f s t ou h t Y r
friðlýsa	f r I D l i s a
friðlýsingu	f r I D l i s i N k Y
friðrik	f r I D r I k
friðriki	f r I D r I c I
friðriks	f r I D r I k s
friðriksdóttir	f r I D r I k s t ou h t I r
friðriksson	f r I D r I k s O n
friðrikssonar	f r I D r I k s O n a r
friðsamlega	f r I D s a m l E G a
friðsamt	f r I D s a m_0 t
friðsæll	f r I D s ai t l_0
friðsælt	f r I D s ai l_0 t
friðun	f r I: D Y n
friður	f r I: D Y r
friðþjófi	f r I T j ou v I
frjáls	f r j au l s
frjálsa	f r j au l s a
frjálsan	f r j au l s a n
frjálsar	f r j au l s a r
frjálshyggjumanna	f r j au l s h I c Y m a n a
frjálshyggjumannsins	f r j au l s h I c Y m a n s I n s
frjálshyggjutaug	f r j au l s h I c Y t_h 9i G
frjálsir	f r j au l s I r
frjálslynd	f r j au l s t l I n t
frjálslynda	f r j au l s t l I n t a
frjálslyndi	f r j au l s t l I n t I
frjálslyndir	f r j au l s t l I n t I r
frjálslyndra	f r j au l s t l I n t r a
frjálslyndu	f r j au l s t l I n t Y
frjálsra	f r j au l s r a
frjálsrar	f r j au l s r a r
frjálsri	f r j au l s r I
frjálsræði	f r j au l s r ai D I
frjálst	f r j au l s t
frjálsu	f r j au l s Y
frjálsum	f r j au l s Y m
frjókorn	f r j ou: k_h O r t n_0
frjósemi	f r j ou: s E m I
frjósemislyfið	f r j ou: s E m I s t l I v I D
from	f r O m
front	f r O n_0 t
froskdýr	f r O s k t i r
frost	f r O s t
frostdýpt	f r O s t i f t
frosti	f r O s t I
frostkaldan	f r O s t k_h a l t a n
frostmark	f r O s t m a r_0 k
frostmarki	f r O s t m a r_0 c I
frozen	f r ou: s E n
fruma	f r Y: m a
frumbyggjanna	f r Y m p I c a n a
frumefni	f r Y: m E p n I
frumflutning	f r Y m f l Y h t n i N k
frumflutningur	f r Y m f l Y h t n i N k Y r
frumflutt	f r Y m f l Y h t
frumflytja	f r Y m f l I t j a
frumflytjum	f r Y m f l I t j Y m
frumkvæði	f r Y m k_h v ai D I
frumkvæðisaðilar	f r Y m k_h v ai D I s a D I l a r
frumkvæðið	f r Y m k_h v ai D I D
frumkvöðla	f r Y m k_h v 9 D l a
frumkvöðlafræðsla	f r Y m k_h v 9 D l a f r ai D s t l a
frumkvöðlar	f r Y m k_h v 9 D l a r
frumkvöðlum	f r Y m k_h v 9 D l Y m
frumkvöðlunum	f r Y m k_h v 9 D l O n Y m
frumkvöðull	f r Y m k_h v 9 D Y t l_0
frummælendur	f r Y m ai l E n t Y r
frumraun	f r Y m r 9i n
frumskógar	f r Y m s k ou G a r
frumskógi	f r Y m s k ou j I
frumskóginn	f r Y m s k ou j I n
frumskóginum	f r Y m s k ou j I n Y m
frumskýrslu	f r Y m s c i r_0 s t l Y
frumstigi	f r Y m s t I j I
frumsýna	f r Y m s i n a
frumsýnd	f r Y m s i n t
frumsýndur	f r Y m s i n t Y r
frumsýningu	f r Y m s i n i N k Y
frumsýnt	f r Y m s i n_0 t
frumtexta	f r Y m t_h E k s t a
frumunnar	f r Y: m Y n a r
frumvarp	f r Y m v a r_0 p
frumvarpi	f r Y m v a r_0 p I
frumvarpinu	f r Y m v a r_0 p I n Y
frumvarpið	f r Y m v a r_0 p I D
frumvarps	f r Y m v a r_0 p s
frumvarpsins	f r Y m v a r_0 p s I n s
frumvörp	f r Y m v 9 r_0 p
frumvörpin	f r Y m v 9 r_0 p I n
frumvörpum	f r Y m v 9 r_0 p Y m
frumættleiða	f r Y: m ai h t l ei D a
frygð	f r I G D
fryst	f r I s t
frysta	f r I s t a
frystibúntum	f r I s t I p u n_0 t Y m
frystingu	f r I s t i N k Y
frá	f r au:
frábrugðin	f r au p r Y G D I n
frábrugðið	f r au: p r Y G D I D
frábrugðnir	f r au p r Y G D n I r
frábær	f r au: p ai r
frábæra	f r au: p ai r a
frábæran	f r au: p ai r a n
frábærar	f r au: p ai r a r
frábærir	f r au: p ai r I r
frábærlega	f r au: p ai r l E G a
frábærra	f r au: p ai r a
frábærrar	f r au: p ai r a r
frábærri	f r au: p ai r I
frábært	f r au: p ai r_0 t
frábæru	f r au: p ai r Y
frábærum	f r au: p ai r Y m
frádregnum	f r au: t r ei k n Y m
frádráttar	f r au: t r au h t a r
frádráttur	f r au t r au h t Y r
fráfall	f r au: f a t l_0
fráfalls	f r au: f a t l_0 s
fráfarandi	f r au: f a r a n t I
frágang	f r au: k au N k
frágangi	f r au: k au J c I
frágangur	f r au: k au N k Y r
frágengin	f r au: c ei J c I n
frágengið	f r au: c ei J c I D
fráhvarfseinkenni	f r au: k_h v a r f s ei J c_h E n I
fráköst	f r au: k_h 9 s t
fráleitt	f r au: l ei h t
frárennsliskerfum	f r au: r E n s t l I s c_h E r v Y m
frásagnargáfu	f r au: s a k n a r k au v Y
frásagnir	f r au: s a k n I r
frásögn	f r au: s 9 k n_0
frásögninni	f r au: s 9 k n I n I
frásögnum	f r au: s 9 k n Y m
frávik	f r au: v I k
frávísun	f r au: v i s Y n
frávísunarkröfu	f r au: v i s Y n a r_0 k_h r 9 v Y
fræ	f r ai:
fræddi	f r ai t I
fræddu	f r ai t Y
fræg	f r ai: G
fræga	f r ai: G a
frægan	f r ai: G a n
frægasta	f r ai: G a s t a
frægt	f r ai x t
frægu	f r ai: G Y
frægur	f r ai: G Y r
frægustu	f r ai: G Y s t Y
frægð	f r ai G D
frækinn	f r ai: c I n
frænda	f r ai n t a
frændfólki	f r ai n t f ou l_0 c I
frændi	f r ai n t I
frændsystkini	f r ai n t s I s c I n I
frændsystkinin	f r ai n t s I s c I n I n
frændur	f r ai n t Y r
frænka	f r ai N_0 k a
frænkan	f r ai N_0 k a n
frænku	f r ai N_0 k Y
frænkum	f r ai N_0 k Y m
frænkunum	f r ai N_0 k O n Y m
frænkurnar	f r ai N_0 k Y r t n a r
fræva	f r ai: v a
fræða	f r ai: D a
fræðasetrið	f r ai: D a s E t r I D
fræðast	f r ai: D a s t
fræði	f r ai: D I
fræðigrein	f r ai: D I k r ei n
fræðilegum	f r ai: D I l E G Y m
fræðimanna	f r ai: D I m a n a
fræðimaður	f r ai: D I m a D Y r
fræðimenn	f r ai: D I m E n
fræðsla	f r ai D s t l a
fræðslu	f r ai D s t l Y
fræðslumiðstöð	f r ai D s t l Y m I D s t 9 D
fræðslumiðstöðvar	f r ai D s t l Y m I D s t 9 D v a r
fræðsluþættir	f r ai D s t l Y T ai h t I r
fræðum	f r ai: D Y m
frétt	f r j E h t
frétta	f r j E h t a
fréttablað	f r j E h t a p l a D
fréttablaðinu	f r j E h t a p l a D I n Y
fréttablaðið	f r j E h t a p l a D I D
fréttablaðsins	f r j E h t a p l a D s I n s
fréttabréfum	f r j E h t a p r j E v Y m
fréttaflutning	f r j E h t a f l Y h t n I N k
fréttaflutningi	f r j E h t a f l Y h t n i J c I
fréttamanna	f r j E h t a m a n a
fréttamannafundi	f r j E h t a m a n a f Y n t I
fréttamannahópurinn	f r j E h t a m a n a h ou p Y r I n
fréttamanninn	f r j E h t a m a n I n
fréttamaður	f r j E h t a m a D Y r
fréttamaðurinn	f r j E h t a m a D Y r I n
fréttamenn	f r j E h t a m E n
fréttamönnum	f r j E h t a m 9 n Y m
fréttar	f r j E h t a r
fréttarinnar	f r j E h t a r I n a r
fréttaritari	f r j E h t a r I t a r I
fréttaskýrendur	f r j E h t a s c i r E n t Y r
fréttaskýring	f r j E h t a s c i r i N k
fréttaskýringu	f r j E h t a s c i r i N k Y
fréttastjóranum	f r j E h t a s t j ou r a n Y m
fréttastofa	f r j E h t a s t O v a
fréttastofan	f r j E h t a s t O v a n
fréttastofu	f r j E h t a s t O v Y
fréttastofuna	f r j E h t a s t O v Y n a
fréttatengdir	f r j E h t a t_h ei N t I r
fréttatengt	f r j E h t a t ei N_0 t
fréttatilkynningu	f r j E h t a t_h I l c_h I n i N k Y
fréttatilkynningunni	f r j E h t a t_h I l c_h I n i N k Y n I
fréttavef	f r j E h t a v E v
fréttavefnum	f r j E h t a v E p n Y m
fréttavefur	f r j E h t a v E v Y r
frétti	f r j E h t I
fréttin	f r j E h t I n
fréttina	f r j E h t I n a
fréttinni	f r j E h t I n I
fréttir	f r j E h t I r
fréttirnar	f r j E h t I r t n a r
fréttist	f r j E h t I s t
fréttnæmt	f r j E h t n ai m_0 t
fréttum	f r j E h t Y m
frí	f r i:
fríhöfninni	f r i: h 9 p n I n I
fríi	f r i: I
fríkirkjan	f r i: c_h I r_0 c a n
fríkirkjunni	f r i: c_h I r_0 c Y n I
fríkirkjuvegi	f r i: c_h I r_0 c Y v ei j I
frímann	f r i: m a n
frímannsdóttir	f r i: m a n s t ou h t I r
frímerki	f r i: m E r_0 c I
frískt	f r i s t
frítt	f r i h t
frítíma	f r i: t_h i m a
fríverslun	f r i: v E r_0 s t l Y n
fríverslunarsamningur	f r i: v E r_0 s t l Y n a r s a m n i N k Y r
fríða	f r i: D a
fríðu	f r i: D Y
fríður	f r i: D Y r
frómt	f r ou m_0 t
frón	f r ou: n
fróðlegt	f r ou D l E x t
fróðleik	f r ou D l ei k
fróður	f r ou: D Y r
frökkum	f r 9 h k Y m
frönsk	f r 9 n s k
frönsku	f r 9 n s k Y
frönskum	f r 9 n s k Y m
frú	f r u:
frúnni	f r u n I
fu	f u:
fuck	f 9 h k
fucking	f 9 h k i N
fugl	f Y k l_0
fugla	f Y k l a
fuglahræða	f Y k l a r_0 ai D a
fuglakjöt	f Y k l a c_h 9 t
fuglar	f Y k l a r
fuglarnir	f Y k l a r t n I r
fuglastúlka	f Y k l a s t u l_0 k a
fuglasöng	f Y k l a s 9i N k
fuglinn	f Y k l I n
fuglsgoggur	f Y k l s k O k Y r
fuglum	f Y k l Y m
fuglunum	f Y k l O n Y m
fulham	f u l h a m
full	f Y t l_0
fulla	f Y t l a
fullan	f Y t l a n
fullar	f Y t l a r
fullfermi	f Y t l_0 f E r m I
fullgerður	f Y t l_0 c E r D Y r
fullgilda	f Y t l_0 c I l t a
fullgildi	f Y t l_0 c I l t I
fullir	f Y t l I r
fullklædd	f Y t l k_h l ai t
fullkomin	f Y t l_0 k_h O m I n
fullkominn	f Y t l k_h O m I n
fullkomið	f Y t l k_h O m I D
fullkomlega	f Y t l k_h O m l E G a
fullkomna	f Y t l_0 k_h O m n a
fullkomnu	f Y t l_0 k_h O m n Y
fullkomnun	f Y t l_0 k_h O m n Y n
fullkomnustu	f Y t l k_h O m n Y s t Y
fullljóst	f Y t l j ou s t
fullmannlega	f Y t l m a n l E G a
fullnusta	f Y t l n Y s t a
fullnustu	f Y t l n Y s t Y
fullnægi	f Y t l n ai j I
fullnægja	f Y t l n ai j a
fullnægjandi	f Y t l n ai j a n t I
fullnægt	f Y t l n ai x t
fullorðin	f Y t l O r D I n
fullorðinn	f Y t l O r D I n
fullorðinna	f Y t l O r D I n a
fullorðinsefni	f Y t l O r D I n s E p n I
fullorðinsár	f Y t l O r D I n s au r
fullorðið	f Y t l O r D I D
fullorðna	f Y t l O r t n a
fullorðnar	f Y t l O r t n a r
fullorðnu	f Y t l O r t n Y
fullorðnum	f Y t l O r t n Y m
fullri	f Y t l r I
fulls	f Y l s
fullskipuð	f Y t l_0 s c I p Y D
fullstór	f Y t l_0 s t ou r
fullt	f Y l_0 t
fulltingis	f Y t l_0 t_h i J c I s
fulltrúa	f Y t l_0 t_h r u a
fulltrúaaðild	f Y t l_0 t_h r u a D I l t
fulltrúafundi	f Y t l_0 t_h r u a f Y n t I
fulltrúar	f Y t l_0 t_h r u a r
fulltrúaráð	f Y t l_0 t_h r u a r au D
fulltrúaráðs	f Y t l_0 t_h r u a r au D s
fulltrúi	f Y t l_0 t_h r u I
fulltrúum	f Y t l_0 t_h r u Y m
fullu	f Y t l Y
fullum	f Y t l Y m
fullur	f Y t l Y r
fullvalda	f Y t l v a l t a
fullveldi	f Y t l v E l t I
fullvinnslu	f Y t l v I n s t l Y
fullviss	f Y t l v I s
fullvissa	f Y t l v I s a
fullvissir	f Y t l v I s I r
fullvissuðu	f Y t l v I s Y D Y
fullvíst	f Y t l v i s t
fully	f u l i
fullyrt	f Y t l I r_0 t
fullyrti	f Y t l I r_0 t I
fullyrtu	f Y t l I r_0 t Y
fullyrða	f Y t l I r D a
fullyrði	f Y t l I r D I
fullyrðing	f Y t l I r D i N k
fullyrðingar	f Y t l I r D i N k a r
fullyrðingarsetningin	f Y t l I r D i N k a r_0 s E h t n i J c I n
fullyrðingu	f Y t l I r D i N k Y
fullyrðingum	f Y t l I r D i N k Y m
fullyrðir	f Y t l I r D I r
fullþakkað	f Y t l T a h k a D
fullþróa	f Y t l_0 T r ou a
fun	f 9 n
funa	f Y: n a
fund	f Y n t
funda	f Y n t a
fundar	f Y n t a r
fundargerð	f Y n t a r c E r D
fundarins	f Y n t a r I n s
fundarmenn	f Y n t a r m E n
fundarstjóri	f Y n t a r_0 s t j ou r I
fundarstjórn	f Y n t a r_0 s t j ou r t n_0
fundarstofur	f Y n t a r_0 s t O v Y r
fundað	f Y n t a D
fundaði	f Y n t a D I
fundi	f Y n t I
fundin	f Y n t I n
funding	f 9 n t i N
fundinn	f Y n t I n
fundinum	f Y n t I n Y m
fundir	f Y n t I r
fundist	f Y n t I s t
fundið	f Y n t I D
funds	f 9 n t s
fundu	f Y n t Y
fundum	f Y n t Y m
fundur	f Y n t Y r
fundurinn	f Y n t Y r I n
fundust	f Y n t Y s t
funduðu	f Y n t Y D Y
funeral	f j u: n E r a l
funi	f Y: n I
funk	f 9 N_0 k
funny	f 9 n i
fur	f 9: r
furious	f j u: r i j Y s
furniture	f 9 r n I t j 9 r
fursta	f Y r_0 s t a
furstanum	f Y r_0 s t a n Y m
fursti	f Y r_0 s t I
furstinn	f Y r_0 s t I n
furutré	f Y: r Y t_h r j E
fury	f j u: r i
furða	f Y r D a
furðar	f Y r D a r
furðu	f Y r D Y
furðulega	f Y r D Y l E G a
furðulegt	f Y r D Y l E x t
furðuverk	f Y r D Y v E r_0 k
furðuðu	f Y r D Y D Y
fusion	f j u: s j O n
fylgd	f I l t
fylgdarliði	f I l t a r l I D I
fylgdarmaður	f I l t a r m a D Y r
fylgdarmaðurinn	f I l t a r m a D Y r I n
fylgdi	f I l t I
fylgdist	f I l t I s t
fylgdu	f I l t Y
fylgdust	f I l t Y s t
fylgi	f I l c I
fylgibreytu	f I l c I p r ei t Y
fylgifiskur	f I l c I f I s k Y r
fylgikvilla	f I l c I k_h v I t l a
fylgir	f I l c I r
fylgirit	f I l c I r I t
fylgis	f I l c I s
fylgiskjal	f I l c I s c a l
fylgist	f I l c I s t
fylgið	f I l c I D
fylgja	f I l c a
fylgjandi	f I l c a n t I
fylgjast	f I l c a s t
fylgjendur	f I l c E n t Y r
fylgjumst	f I l c Y m s t
fylgni	f I l n I
fylgsni	f I l s t n I
fylgst	f I l s t
fylgt	f I l_0 t
fylja	f I l j a
fylki	f I l_0 c I
fylking	f I l_0 c i N k
fylkinga	f I l_0 c i N k a
fylkingar	f I l_0 c i N k a r
fylkingin	f I l_0 c i J c I n
fylkingum	f I l_0 c i N k Y m
fylkingunni	f I l_0 c i N k Y n I
fylkinu	f I l_0 c I n Y
fylkir	f I l_0 c I r
fylkis	f I l_0 c I s
fylkishöfðingi	f I l_0 c I s h 9 v D i J c I
fylkishöfðinginn	f I l_0 c I s h 9 v D i J c I n
fylkismanna	f I l_0 c I s m a n a
fylkismenn	f I l_0 c I s m E n
fylkja	f I l_0 c a
fylla	f I t l a
fyllast	f I t l a s t
fyllerí	f I t l E r i
fylleríi	f I t l E r i j I
fylli	f I t l I
fyllibytta	f I t l I p I h t a
fyllibyttan	f I t l I p I h t a n
fyllilega	f I t l I l E G a
fyllingu	f I t l i N k Y
fyllir	f I t l I r
fylliríi	f I t l I r i I
fylliríinu	f I t l I r i I n Y
fylliríið	f I t l I r i I D
fyllist	f I t l I s t
fyllri	f I t l r I
fyllst	f I l s t
fyllsta	f I l s t a
fyllstu	f I l s t Y
fyllt	f I l_0 t
fylltar	f I l_0 t a r
fyllti	f I l_0 t I
fylltist	f I l_0 t I s t
fylltu	f I l_0 t Y
fylltur	f I l_0 t Y r
fylltust	f I l_0 t Y s t
fyllum	f I t l Y m
fyndin	f I n t I n
fyndinn	f I n t I n
fyndist	f I n t I s t
fyndið	f I n t I D
fyrir	f I: r I r
fyrirbyggja	f I: r I r_0 p I c a
fyrirbyggjandi	f I: r I r_0 p I c a n t I
fyrirbænum	f I: r I r_0 p ai n Y m
fyrirbæri	f I: r I r_0 p ai r I
fyrirfram	f I: r I r_0 f r a m
fyrirgangur	f I: r I r_0 k au N k Y r
fyrirgefa	f I: r I r c E v a
fyrirgefning	f I: r I r_0 c E p n i N k
fyrirgefningu	f I: r I r c E p n i N k Y
fyrirgjöf	f I: r I r_0 c 9 v
fyrirgreiðslu	f I: r I r k r ei D s t l Y
fyrirheit	f I: r I r_0 h ei t
fyrirhugað	f I: r I r_0 h Y G a D
fyrirhugaða	f I: r I r_0 h Y G a D a
fyrirhugaðar	f I: r I r_0 h Y G a D a r
fyrirhugaðra	f I: r I r_0 h Y G a D r a
fyrirhugaðrar	f I: r I r_0 h Y G a D r a r
fyrirhuguð	f I: r I r_0 h Y G Y D
fyrirhuguðu	f I: r I r_0 h Y G Y D Y
fyrirhuguðum	f I: r I r_0 h Y G Y D Y m
fyrirhyggjuleysi	f I: r I r_0 h I c Y l ei s I
fyrirhöfn	f I: r I r_0 h 9 p n_0
fyrirkallaður	f I: r I r_0 k_h a t l a D Y r
fyrirkomulag	f I: r I r_0 k_h O m Y l a G
fyrirkomulagi	f I: r I r_0 k_h O m Y l ai j I
fyrirkomulagið	f I: r I r_0 k_h O m Y l ai j I D
fyrirlesarar	f I: r I r l E s a r a r
fyrirlesari	f I: r I r l E s a r I
fyrirlestra	f I: r I r l E s t r a
fyrirlestrarnir	f I: r I r l E s t r a r t n I r
fyrirlestri	f I: r I r l E s t r I
fyrirlestur	f I: r I r l E s t Y r
fyrirlesturinn	f I: r I r l E s t Y r I n
fyrirliggjandi	f I: r I r l I c a n t I
fyrirlitið	f I: r I r l I t I D
fyrirlitlega	f I: r I r l I t l E G a
fyrirlitning	f I: r I r l I h t n i N k
fyrirlitningar	f I: r I r l I h t n i N k a r
fyrirlitningu	f I: r I r l I h t n i N k Y
fyrirlitninguna	f I: r I r l I h t n i N k Y n a
fyrirlitu	f I: r I r l I t Y
fyrirliða	f I: r I r l I D a
fyrirliðans	f I: r I r l I D a n s
fyrirliði	f I: r I r l I D I
fyrirliðinn	f I: r I r l I D I n
fyrirlítur	f I: r I r l i t Y r
fyrirmynd	f I: r I r m I n t
fyrirmyndar	f I: r I r m I n t a r
fyrirmyndir	f I: r I r m I n t I r
fyrirmæli	f I: r I r m ai l I
fyrirmælum	f I: r I r m ai l Y m
fyrirrennara	f I: r I r E n a r a
fyrirrúmi	f I: r I r u m I
fyrirsagnir	f I: r I r_0 s a k n I r
fyrirsjáanlegt	f I: r I r_0 s j au a n l E x t
fyrirskipanir	f I: r I r_0 s c I p a n I r
fyrirskipað	f I: r I r_0 s c I p a D
fyrirskipunum	f I: r I r_0 s c I p Y n Y m
fyrirskrifað	f I: r I r_0 s k r I v a D
fyrirspurn	f I: r I r_0 s p Y r t n_0
fyrirspurnir	f I: r I r_0 s p Y r t n I r
fyrirspurnum	f I: r I r_0 s p Y r t n Y m
fyrirspyrjanda	f I: r I r_0 s p I r j a n t a
fyrirspyrjandi	f I: r I r_0 s p I r j a n t I
fyrirstöðu	f I: r I r_0 s t 9 D Y
fyrirsvarinu	f I: r I r_0 s v a r I n Y
fyrirsvarsmaður	f I: r I r_0 s v a r_0 s m a D Y r
fyrirsæta	f I: r I r_0 s ai t a
fyrirsætan	f I: r I r_0 s ai t a n
fyrirséð	f I: r I r_0 s j E D
fyrirsögn	f I: r I r_0 s 9 k n_0
fyrirsögninni	f I: r I r_0 s 9 k n I n I
fyrirtaks	f I: r I r_0 t_h a k s
fyrirtæki	f I: r I r_0 t_h ai c I
fyrirtækin	f I: r I r_0 t_h ai c I n
fyrirtækinu	f I: r I r_0 t_h ai c I n Y
fyrirtækis	f I: r I r_0 t_h ai c I s
fyrirtækisins	f I: r I r_0 t_h ai c I s I n s
fyrirtækisnafn	f I: r I r_0 t_h ai c I s t n a p n_0
fyrirtækissins	f I: r I r_0 t_h ai c I s I n s
fyrirtækið	f I: r I r_0 t_h ai c I D
fyrirtækja	f I: r I r_0 t_h ai c a
fyrirtækjagræðgi	f I: r I r_0 t_h ai c a k r ai D c I
fyrirtækjakaup	f I: r I r_0 t_h ai c a k_h 9i p
fyrirtækjanna	f I: r I r_0 t_h ai c a n a
fyrirtækjarekstri	f I: r I r_0 t_h ai c a r E k s t r I
fyrirtækjum	f I: r I r_0 t_h ai c Y m
fyrirtækjunum	f I: r I r_0 t_h ai c O n Y m
fyrirtöku	f I: r I r_0 t_h 9 k Y
fyrirvara	f I: r I r v a r a
fyrirvaralaust	f I: r I r v a r a l 9i s t
fyrirvarar	f I: r I r v a r a r
fyrirvari	f I: r I r v a r I
fyrirvörum	f I: r I r v 9 r Y m
fyrirætlanir	f I: r I r ai h t l a n I r
fyrirætlunum	f I: r I r ai h t l Y n Y m
fyrnasterkum	f I r t n a s t E r_0 k Y m
fyrningarleið	f I r t n i N k a r l ei D
fyrningu	f I r t n i N k Y
fyrr	f I r
fyrra	f I r a
fyrradag	f I r a t a G
fyrrahaust	f I r a h 9i s t
fyrrakvöld	f I r a k_h v 9 l t
fyrramálið	f I r a m au l I D
fyrrasumar	f I r a s Y m a r
fyrrgreind	f I r k r ei n t
fyrrgreindu	f I r k r ei n t Y
fyrri	f I r I
fyrrihluta	f I r I l_0 Y t a
fyrrinótt	f I r I n ou h t
fyrripartsins	f I r I p_h a r_0 t s I n s
fyrrnefnd	f I r n E m t
fyrrnefnda	f I r n E m t a
fyrrnefndi	f I r n E m t I
fyrrnefndra	f I r n E m t r a
fyrrnefndri	f I r n E m t r I
fyrrnefndu	f I r n E m t Y
fyrrnefndum	f I r n E m t Y m
fyrrum	f I r Y m
fyrrverandi	f I r v E r a n t I
fyrst	f I r_0 s t
fyrsta	f I r_0 s t a
fyrsti	f I r_0 s t I
fyrstir	f I r_0 s t I r
fyrsts	f I s t s
fyrstu	f I r_0 s t Y
fyrstunni	f I r_0 s t Y n I
fyrstur	f I r_0 s t Y r
fá	f au:
fáa	f au: a
fáanleg	f au: a n l E G
fáanlegt	f au: a n l E x t
fáar	f au: a r
fábreytilegt	f au: p r ei t I l E x t
fáein	f au: ei n
fáeinum	f au: ei n Y m
fágað	f au: G a D
fágaða	f au: G a D a
fágaður	f au: G a D Y r
fágun	f au: G Y n
fáguð	f au: G Y D
fái	f au: I
fáir	f au: I r
fáist	f au: I s t
fákeppni	f au: c_h E h p n I
fákur	f au k Y r
fálka	f au l_0 k a
fálkagötu	f au l_0 k a k 9 t Y
fálkann	f au l_0 k a n
fálki	f au l_0 c I
fána	f au: n a
fáni	f au: n I
fár	f au: r
fárra	f au r a
fársjúk	f au r_0 s j u k
fáránlega	f au: r au n l E G a
fáránlegri	f au: r au n l E G r I
fáránlegt	f au: r au n l E x t
fáránlegur	f au: r au n l E G Y r
fáskiptinn	f au: s c I f t I n
fáskrúðsfirði	f au s k r u D s f I r D I
fáskrúðsfjarðar	f au: s k r u D s f j a r D a r
fást	f au s t
fátt	f au h t
fátæk	f au: t_h ai k
fátækari	f au: t_h ai k a r I
fátæklegu	f au: t_h ai k l E G Y
fátæklinga	f au: t_h ai h k l i N k a
fátæklingar	f au: t_h ai h k l i N k a r
fátæklingarnir	f au: t_h ai h k l i N k a r t n I r
fátækra	f au: t_h ai k r a
fátækrafulltrúa	f au: t_h ai k r a f Y t l_0 t_h r u a
fátækrafulltrúi	f au: t_h ai k r a f Y t l_0 t_h r u I
fátækrahverfi	f au: t_h ai k r a k_h v E r v I
fátækri	f au: t_h ai k r I
fátækt	f au: t_h ai x t
fátæktinni	f au: t_h ai x t I n I
fátæku	f au: t_h ai k Y
fátækum	f au: t_h ai k Y m
fátækur	f au: t_h ai k Y r
fáu	f au: Y
fáum	f au: Y m
fáviti	f au: v I t I
fæ	f ai:
fædd	f ai t
fæddar	f ai t a r
fæddir	f ai t I r
fæddist	f ai t I s t
fæddur	f ai t Y r
fæddust	f ai t Y s t
fægja	f ai j a
fækka	f ai h k a
fækkandi	f ai h k a n t I
fækkar	f ai h k a r
fækkað	f ai h k a D
fækkaði	f ai h k a D I
fækki	f ai h c I
fækkun	f ai h k Y n
fæla	f ai: l a
fældist	f ai l t I s t
fæli	f ai: l I
fælist	f ai: l I s t
fælni	f ai l n I
fær	f ai: r
færa	f ai: r a
færandi	f ai: r a n t I
færar	f ai: r a r
færast	f ai: r a s t
færeyinga	f ai: r ei j i N k a
færeyingar	f ai: r ei j i N k a r
færeyja	f ai: r ei j a
færeyjar	f ai: r ei j a r
færeyjum	f ai: r ei j Y m
færeyska	f ai: r ei s k a
færeysku	f ai: r ei s k Y
færi	f ai: r I
færin	f ai: r I n
færir	f ai: r I r
færist	f ai: r I s t
færið	f ai: r I D
færni	f ai r t n I
færra	f ai r a
færri	f ai r I
færsla	f ai r_0 s t l a
færslu	f ai r_0 s t l Y
færslunni	f ai r_0 s t l Y n I
færslur	f ai r_0 s t l Y r
færst	f ai r_0 s t
færu	f ai: r Y
færum	f ai: r Y m
færustu	f ai: r Y s t Y
færð	f ai r D
færði	f ai r D I
færðir	f ai r D I r
færðist	f ai r D I s t
færðu	f ai r D Y
færður	f ai r D Y r
fæst	f ai s t
fæstir	f ai s t I r
fæti	f ai: t I
fætt	f ai h t
fætur	f ai: t Y r
fæturna	f ai: t Y r t n a
fæða	f ai: D a
fæðast	f ai: D a s t
fæði	f ai: D I
fæðing	f ai: D i N k
fæðingarorlof	f ai: D i N k a r O r l O v
fæðingarorlofi	f ai: D i N k a r O r l O v I
