a	aː
gíslína	c i s t l i n a
gítar	c iː t a r
gítarinn	c iː t a r ɪ n
gítarleikara	c iː t a r l ei k a r a
gítarleikari	c iː t a r l ei k a r ɪ
gítarleikarinn	c iː t a r l ei k a r ɪ n
góa	k ouː a
gógó	k ouː k ou
gólf	k ou l v
gólfefni	k ou l v ɛ p n ɪ
gólffjalirnar	k ou l f j a l ɪ r t n a r
gólffjölunum	k ou l f j œ l ʏ n ʏ m
gólfi	k ou l v ɪ
gólfinu	k ou l v ɪ n ʏ
gólfið	k ou l v ɪ ð
gólfum	k ou l v ʏ m
góma	k ouː m a
gómsætur	k ou m s ai t ʏ r
góndum	k ou n t ʏ m
góss	k ou s
góð	k ouː ð
góða	k ouː ð a
góðan	k ouː ð a n
góðar	k ouː ð a r
góðgerðarmála	k ou ð c ɛ r ð a r m au l a
góðgerðarstarfsemi	k ou ð c ɛ r ð a r̥ s t a r f s ɛ m ɪ
góðgæti	k ou ð c ai t ɪ
góði	k ouː ð ɪ
góðir	k ouː ð ɪ r
góðmennsku	k ou ð m ɛ n s k ʏ
góðra	k ou ð r a
góðrar	k ou ð r a r
góðri	k ou ð r ɪ
góðs	k ou ð s
góðu	k ouː ð ʏ
góðum	k ouː ð ʏ m
góður	k ouː ð ʏ r
góðvild	k ou ð v ɪ l t
góðviðrisdögum	k ou ð v ɪ ð r ɪ s t œ ɣ ʏ m
góðæri	k ouː ð ai r ɪ
góðærinu	k ouː ð ai r ɪ n ʏ
góðærið	k ouː ð ai r ɪ ð
göfuga	k œː v ʏ ɣ a
göfugt	k œː v ʏ x t
gögguðu	k œ k ʏ ð ʏ
gögn	k œ k n̥
gögnin	k œ k n ɪ n
gögnum	k œ k n ʏ m
gögnunum	k œ k n ɔ n ʏ m
göllum	k œ l ʏ m
göllunum	k œ l ɔ n ʏ m
gölluð	k œ t l ʏ ð
gölluðu	k œ t l ʏ ð ʏ
gölluðum	k œ t l ʏ ð ʏ m
gölluðust	k œ t l ʏ ð ʏ s t
gölluðustu	k œ t l ʏ ð ʏ s t ʏ
gölluðustum	k œ t l ʏ ð ʏ s t ʏ m
gömlu	k œ m l ʏ
gömlum	k œ m l ʏ m
gömul	k œː m ʏ l
göng	k œy ŋ k
göngin	k œy ɲ c ɪ n
göngu	k œy ŋ k ʏ
göngubrú	k œy ŋ k ʏ p r u
göngudeild	k œy ŋ k ʏ t ei l t
gönguferð	k œy ŋ k ʏ f ɛ r ð
gönguferðir	k œy ŋ k ʏ f ɛ r ð ɪ r
gönguferðum	k œy ŋ k ʏ f ɛ r ð ʏ m
göngugötuna	k œy ŋ k ʏ k œ t ʏ n a
göngugötunni	k œy ŋ k ʏ k œ t ʏ n ɪ
gönguhópur	k œy ŋ k ʏ h ou p ʏ r
göngulagi	k œy ŋ k ʏ l ai j ɪ
göngulaginu	k œy ŋ k ʏ l ai j ɪ n ʏ
göngulagið	k œy ŋ k ʏ l ai j ɪ ð
gönguleið	k œy ŋ k ʏ l ei ð
gönguleiðir	k œy ŋ k ʏ l ei ð ɪ r
gönguleiðum	k œy ŋ k ʏ l ei ð ʏ m
göngum	k œy ŋ k ʏ m
gönguna	k œy ŋ k ʏ n a
göngunnar	k œy ŋ k ʏ n a r
göngunni	k œy ŋ k ʏ n ɪ
göngunum	k œy ŋ k ɔ n ʏ m
göngur	k œy ŋ k ʏ r
göngustíg	k œy ŋ k ʏ s t i ɣ
göngustíga	k œy ŋ k ʏ s t i ɣ a
göngustígum	k œy ŋ k ʏ s t i ɣ ʏ m
göngutúr	k œy ŋ k ʏ tʰ u r
göngutúra	k œy ŋ k ʏ tʰ u r a
göppingen	k œ h p i ɲ ɛ n
göran	k œː r a n
görðum	k œ r ð ʏ m
göt	k œː t
götu	k œː t ʏ
götuhornum	k œː t ʏ h ɔ r t n ʏ m
götum	k œː t ʏ m
götuna	k œː t ʏ n a
götunnar	k œː t ʏ n a r
götunni	k œː t ʏ n ɪ
götunum	k œː t ɔ n ʏ m
götur	k œː t ʏ r
göturnar	k œː t ʏ r t n a r
gúlla	k u l a
gúllar	k u l a r
gúllas	k u l a s
gúllasi	k u l a s ɪ
gúllinn	k u l ɪ n
gúllivers	k u l ɪ v ɛ r̥ s
gúlpaði	k u l̥ p a ð ɪ
gúmmíbátinn	k u m i p au t ɪ n
gúmmíflibbanum	k u m i f l ɪ p a n ʏ m
gúmmífætt	k u m i f ai h t
gúmmíhandföngin	k u m i h a n t f œy ɲ c ɪ n
gúmmíhanska	k u m i h a n s k a
gúmmíi	k u m i ɪ
gúmmíræmurnar	k u m i r ai m ʏ r t n a r
gúmmískó	k u m i s k ou
gúmmískór	k u m i s k ou r
gúmmíslöngum	k u m i s t l œy ŋ k ʏ m
gúmmístígvélum	k u m i s t i ɣ v j ɛ l ʏ m
gúmmístígvélunum	k u m i s t i ɣ v j ɛ l ɔ n ʏ m
gúmmítrjáa	k u m i tʰ r j au a
gúmmítrjánna	k u m i tʰ r j au n a
gúmmítré	k u m i tʰ r j ɛ
gúrkunum	k u r̥ k ɔ n ʏ m
gúrkutíð	k u r̥ k ʏ tʰ i ð
gústa	k u s t a
gústaf	k u s t a v
gústafsdóttir	k u s t a f s t ou h t ɪ r
gústafsson	k u s t a f s ɔ n
gústav	k u s t a v
gústavsson	k u s t a f s ɔ n
gústi	k u s t ɪ
gýgur	c iː ɣ ʏ r
h	h auː
ha	h aː
haag	h aː ɣ
haarde	h ɔ r t ɛ
had	h ɛ t
hadda	h a t a
haf	h aː v
hafa	h aː v a
hafandi	h aː v a n t ɪ
hafast	h aː v a s t
hafberg	h a v p ɛ r k
hafdís	h a v t i s
hafdísi	h a v t i s ɪ
haffa	h a f a
haffærisskírteini	h a f ai r ɪ s c i r̥ t ei n ɪ
hafi	h aː v ɪ
hafin	h aː v ɪ n
hafinn	h aː v ɪ n
hafinu	h aː v ɪ n ʏ
hafir	h aː v ɪ r
hafist	h aː v ɪ s t
hafið	h aː v ɪ ð
hafliða	h a v l ɪ ð a
hafliðason	h a v l ɪ ð a s ɔ n
hafliði	h a v l ɪ ð ɪ
hafna	h a p n a
hafnar	h a p n a r
hafnarbakkanum	h a p n a r p a h k a n ʏ m
hafnarboltaknattleik	h a p n a r p ɔ l̥ t a kʰ n a h t l ei k
hafnarborg	h a p n a r p ɔ r k
hafnarborgar	h a p n a r p ɔ r k a r
hafnarfirði	h a p n a r̥ f ɪ r ð ɪ
hafnarfjalli	h a p n a r̥ f j a t l ɪ
hafnarfjarðar	h a p n a r̥ f j a r ð a r
hafnarfjarðarbæ	h a p n a r̥ f j a r ð a r p ai
hafnarfjarðarbæjar	h a p n a r̥ f j a r ð a r p ai j a r
hafnarfjarðarbær	h a p n a r̥ f j a r ð a r̥ p ai r
hafnarfjarðarhöfn	h a p n a r̥ f j a r ð a r̥ h œ p n̥
hafnarfjarðarkirkja	h a p n a r̥ f j a r ð a r̥ cʰ ɪ r̥ c a
hafnarfjarðarkirkju	h a p n a r̥ f j a r ð a r̥ cʰ ɪ r̥ c ʏ
hafnarfjörð	h a p n a r̥ f j œ r ð
hafnarfjörður	h a p n a r̥ f j œ r ð ʏ r
hafnarframkvæmdum	h a p n a r̥ f r a m kʰ v ai m t ʏ m
hafnargötu	h a p n a r k œ t ʏ
hafnarhús	h a p n a r̥ h u s
hafnarhúsi	h a p n a r̥ h u s ɪ
hafnarhúsinu	h a p n a r̥ h u s ɪ n ʏ
hafnarhúsið	h a p n a r̥ h u s ɪ ð
hafnarinnar	h a p n a r ɪ n a r
hafnarkjaftur	h a p n a r̥ cʰ a f t ʏ r
hafnarstjóri	h a p n a r̥ s t j ou r ɪ
hafnarstræti	h a p n a r̥ s t r ai t ɪ
hafnarsvæðinu	h a p n a r̥ s v ai ð ɪ n ʏ
hafnarvogin	h a p n a r v ɔi j ɪ n
hafnað	h a p n a ð
hafnaði	h a p n a ð ɪ
hafnfirðinga	h a p n̥ f ɪ r ð i ŋ k a
hafnfirðingar	h a p n̥ f ɪ r ð i ŋ k a r
hafni	h a p n ɪ
hafnir	h a p n ɪ r
hafragrautur	h a v r a k r œy t ʏ r
hafrannsóknastofnun	h a v r a n s ou h k n a s t ɔ p n ʏ n
hafrannsóknastofnunar	h a v r a n s ou h k n a s t ɔ p n ʏ n a r
hafrannsóknastofnunarinnar	h a v r a n s ou h k n a s t ɔ p n ʏ n a r ɪ n a r
hafró	h a v r ou
hafrún	h a v r u n
hafsbotni	h a f s p ɔ h t n ɪ
hafsins	h a f s ɪ n s
hafsjór	h a f s j ou r
hafstein	h a f s t ei n
hafsteinn	h a f s t ei t n̥
hafsteins	h a f s t ei n s
hafsteinsdóttir	h a f s t ei n s t ou h t ɪ r
hafsteinsdóttur	h a f s t ei n s t ou h t ʏ r
hafsteinsson	h a f s t ei n s ɔ n
hafsteinsstöðum	h a f s t ei n s t œ ð ʏ m
hafstjarnan	h a f s t j a r t n a n
hafsvæði	h a f s v ai ð ɪ
haft	h a f t
hafta	h a f t a
haftanna	h a f t a n a
hafti	h a f t ɪ
hafurtask	h aː v ʏ r tʰ a s k
hafís	h aː v i s
hafðar	h a v ð a r
hafði	h a v ð ɪ
hafðir	h a v ð ɪ r
hafðist	h a v ð ɪ s t
hafðu	h a v ð ʏ
hafður	h a v ð ʏ r
hafþór	h a f θ ou r
hafþórsson	h a f θ ou r̥ s ɔ n
hag	h aː ɣ
haga	h aː ɣ a
hagalín	h aː ɣ a l i n
hagar	h aː ɣ a r
hagaskóla	h aː ɣ a s k ou l a
hagatjörn	h aː ɣ a tʰ j œ r t n̥
hagað	h aː ɣ a ð
hagaði	h aː ɣ a ð ɪ
hagbjörtu	h a ɣ p j œ r̥ t ʏ
hagen	h aː k ɛ n
hagfræði	h a x f r ai ð ɪ
hagfræðideild	h a x f r ai ð ɪ t ei l t
hagfræðideildar	h a x f r ai ð ɪ t ei l t a r
hagfræðinga	h a x f r ai ð i ŋ k a
hagfræðingar	h a x f r ai ð i ŋ k a r
hagfræðingur	h a x f r ai ð i ŋ k ʏ r
hagfræðistofnun	h a x f r ai ð ɪ s t ɔ p n ʏ n
hagfræðistofnunar	h a x f r ai ð ɪ s t ɔ p n ʏ n a r
haggast	h a k a s t
haggað	h a k a ð
haggaðist	h a k a ð ɪ s t
hagi	h ai j ɪ
haginn	h ai j ɪ n
hagið	h ai j ɪ ð
hagkaup	h a ɣ kʰ œy p
hagkaupa	h a ɣ kʰ œy p a
hagkaupi	h a ɣ kʰ œy p ɪ
hagkaupum	h a ɣ kʰ œy p ʏ m
hagkerfi	h a ɣ cʰ ɛ r v ɪ
hagkerfinu	h a ɣ cʰ ɛ r v ɪ n ʏ
hagkerfisins	h a ɣ cʰ ɛ r v ɪ s ɪ n s
hagkerfið	h a ɣ cʰ ɛ r v ɪ ð
hagkvæm	h a ɣ kʰ v ai m
hagkvæman	h a ɣ kʰ v ai m a n
hagkvæmara	h a ɣ kʰ v ai m a r a
hagkvæmari	h a ɣ kʰ v ai m r ɪ
hagkvæmast	h a ɣ kʰ v ai m a s t
hagkvæmastan	h a ɣ kʰ v ai m a s t a n
hagkvæmni	h a ɣ kʰ v ai m n ɪ
hagkvæmri	h a ɣ kʰ v ai m r ɪ
hagkvæmt	h a ɣ kʰ v ai m̥ t
hagkvæmum	h a ɣ kʰ v ai m ʏ m
hagkvæmur	h a ɣ kʰ v ai m ʏ r
hagl	h a k l̥
haglabyssa	h a k l a p ɪ s a
haglabyssu	h a k l a p ɪ s ʏ
haglabyssuna	h a k l a p ɪ s ʏ n a
hagnast	h a k n a s t
hagnað	h a k n a ð
hagnaðar	h a k n a ð a r
hagnaðarskyni	h a k n a ð a r̥ s c ɪ n ɪ
hagnaði	h a k n a ð ɪ
hagnaðist	h a k n a ð ɪ s t
hagnaður	h a k n a ð ʏ r
hagnaðurinn	h a k n a ð ʏ r ɪ n
hagnýt	h a ɣ n i t
hagnýta	h a ɣ n i t a
hagnýtingar	h a ɣ n i t i ŋ k a r
hagnýtingu	h a ɣ n i t i ŋ k ʏ
hagnýtri	h a ɣ n i t r ɪ
hagnýtt	h a ɣ n i h t
hagnýtur	h a ɣ n i t ʏ r
hagrætt	h a ɣ r ai h t
hagræða	h a ɣ r ai ð a
hagræði	h a ɣ r ai ð ɪ
hagræðing	h a ɣ r ai ð i ŋ k
hagræðingar	h a ɣ r ai ð i ŋ k a r
hagræðingu	h a ɣ r ai ð i ŋ k ʏ
hagræðis	h a ɣ r ai ð ɪ s
hagsbóta	h a x s p ou t a
hagsmuna	h a x s m ʏ n a
hagsmunaaðila	h a x s m ʏ n a a ð ɪ l a
hagsmunaaðilar	h a x s m ʏ n a ð ɪ l a r
hagsmunaaðili	h a x s m ʏ n a ð ɪ l ɪ
hagsmunagæslu	h a x s m ʏ n a c ai s t l ʏ
hagsmunamál	h a x s m ʏ n a m au l
hagsmunasamtaka	h a x s m ʏ n a s a m tʰ a k a
hagsmunasamtök	h a x s m ʏ n a s a m tʰ œ k
hagsmunasamtökum	h a x s m ʏ n a s a m tʰ œ k ʏ m
hagsmunaárekstra	h a x s m ʏ n a au r ɛ k s t r a
hagsmuni	h a x s m ʏ n ɪ
hagsmunir	h a x s m ʏ n ɪ r
hagsmunum	h a x s m ʏ n ʏ m
hagstjórn	h a x s t j ou r t n̥
hagstofa	h a x s t ɔ v a
hagstofan	h a x s t ɔ v a n
hagstofu	h a x s t ɔ v ʏ
hagstofunnar	h a x s t ɔ v ʏ n a r
hagstofunni	h a x s t ɔ v ʏ n ɪ
hagstætt	h a x s t ai h t
hagstæðara	h a x s t ai ð a r a
hagstæðari	h a x s t ai ð a r ɪ
hagstæðu	h a x s t ai ð ʏ
hagstæðum	h a x s t ai ð ʏ m
hagstæður	h a x s t ai ð ʏ r
hagsæld	h a x s ai l t
hagtölur	h a ɣ tʰ œ l ʏ r
hagur	h aː ɣ ʏ r
hagvaxtar	h a ɣ v a k s t a r
hagvaxtarskeið	h a ɣ v a k s t a r̥ s c ei ð
hagvexti	h a ɣ v ɛ k s t ɪ
hagvöxt	h a ɣ v œ k s t
hagvöxtur	h a ɣ v œ k s t ʏ r
hagvöxturinn	h a ɣ v œ k s t ʏ r ɪ n
hair	h ɛː r
haka	h aː k a
hakanum	h aː k a n ʏ m
hakka	h a h k a
hala	h aː l a
halarófu	h aː l a r ou v ʏ
hald	h a l t
halda	h a l t a
haldarann	h a l t a r a n
haldast	h a l t a s t
haldbær	h a l t p ai r
haldi	h a l t ɪ
haldin	h a l t ɪ n
haldinn	h a l t ɪ n
haldist	h a l t ɪ s t
haldið	h a l t ɪ ð
haldlagt	h a l t l a x t
haldnar	h a l t n a r
haldnir	h a l t n ɪ r
halds	h a l t s
half	h a l f
hall	h a t l̥
halla	h a t l a
hallann	h a t l a n
hallar	h a t l a r
hallarbúning	h a t l a r p u n i ŋ k
hallardrykkur	h a t l a r t r ɪ h k ʏ r
hallarekstur	h a t l a r ɛ k s t ʏ r
hallað	h a t l a ð
hallaði	h a t l a ð ɪ
hallbera	h a t l̥ p ɛ r a
hallbjörn	h a t l̥ p j œ r t n̥
halldór	h a l t ou r
halldóra	h a l t ou r a
halldóri	h a l t ou r ɪ
halldórs	h a l t ou r̥ s
halldórsdóttir	h a l t ou r̥ s t ou h t ɪ r
halldórsdóttur	h a l t ou r̥ s t ou h t ʏ r
halldórsson	h a l t ou r̥ s ɔ n
halldórssonar	h a l t ou r̥ s ɔ n a r
halldórsstöðum	h a l t ou r̥ s t œ ð ʏ m
halldórssyni	h a l t ou r̥ s ɪ n ɪ
halldóru	h a l t ou r ʏ
hallelúja	h aː l ɛ l u j a
hallfreðsson	h a t l̥ f r ɛ ð s ɔ n
hallfríður	h a t l̥ f r i ð ʏ r
hallgerður	h a t l̥ c ɛ r ð ʏ r
hallgrím	h a t l̥ k r i m
hallgrími	h a t l̥ k r i m ɪ
hallgríms	h a t l̥ k r i m s
hallgrímsdóttir	h a t l̥ k r i m s t ou h t ɪ r
hallgrímskirkja	h a t l̥ k r i m s cʰ ɪ r̥ c a
hallgrímskirkju	h a t l̥ k r i m s cʰ ɪ r̥ c ʏ
hallgrímskirkjuturn	h a t l̥ k r i m s cʰ ɪ r̥ c ʏ tʰ ʏ r t n̥
hallgrímsson	h a t l̥ k r i m s ɔ n
hallgrímssonar	h a t l̥ k r i m s ɔ n a r
hallgrímssyni	h a t l̥ k r i m s ɪ n ɪ
hallgrímur	h a t l̥ k r i m ʏ r
halli	h a l ɪ
hallinn	h a t l ɪ n
halloka	h a t l ɔ k a
hallormsstað	h a t l ɔ r m s t a ð
hallows	h a l ou s
halls	h a l s
hallsson	h a l s ɔ n
hallur	h a t l ʏ r
hallvarðsson	h a t l v a r ð s ɔ n
hallveig	h a t l v ei ɣ
halló	h a l ou
halmstad	h a l m s t a t
halogenljós	h aː l ɔ c ɛ n l j ou s
halogenljósum	h aː l ɔ c ɛ n l j ou s ʏ m
haltra	h a l̥ t r a
haltrar	h a l̥ t r a r
haltu	h a l̥ t ʏ
haltur	h a l̥ t ʏ r
halógen	h aː l ou c ɛ n
halógenlampa	h aː l ou c ɛ n l a m̥ p a
halógenljósa	h aː l ou c ɛ n l j ou s a
halógenlömpum	h aː l ou c ɛ n l œ m̥ p ʏ m
ham	h aː m
hamar	h aː m a r
hamarháfi	h aː m a r̥ h au v ɪ
hamars	h aː m a r̥ s
hamarshöggin	h aː m a r̥ s h œ c ɪ n
hamarslandi	h aː m a r̥ s t l a n t ɪ
hamas	h aː m a s
hamast	h aː m a s t
hamborg	h a m p ɔ r k
hamborgara	h a m p ɔ r k a r a
hamborgarhryggnum	h a m p ɔ r k a r̥ ɪ k n ʏ m
hamburg	h a m p ʏ r k
hamburger	h a m p œ r k ɛ r
hamfarir	h a m f a r ɪ r
hamförum	h a m f œ r ʏ m
hamid	h aː m ɪ t
hamilton	h aː m ɪ l tʰ ɔ n
hamingja	h aː m i ɲ c a
hamingjan	h aː m i ɲ c a n
hamingju	h aː m i ɲ c ʏ
hamingjuna	h aː m i ɲ c ʏ n a
hamingjunni	h aː m i ɲ c ʏ n ɪ
hamingjuríkt	h aː m i ɲ c ʏ r i x t
hamingjusama	h aː m i ɲ c ʏ s a m a
hamingjusaman	h aː m i ɲ c ʏ s a m a n
hamingjusamir	h aː m i ɲ c ʏ s a m ɪ r
hamingjusamt	h aː m i ɲ c ʏ s a m̥ t
hamingjusamur	h aː m i ɲ c ʏ s a m ʏ r
hamingjusöm	h aː m i ɲ c ʏ s œ m
hamingjusömu	h aː m i ɲ c ʏ s œ m ʏ
hamla	h a m l a
hamlandi	h a m l a n t ɪ
hamlar	h a m l a r
hamlað	h a m l a ð
hammarby	h a m a r̥ p i
hammond	h a m ɔ n t
hampa	h a m̥ p a
hampað	h a m̥ p a ð
hampaði	h a m̥ p a ð ɪ
hamra	h a m r a
hamraborg	h a m r a p ɔ r k
hamrahlíð	h a m r a l̥ i ð
hamrarnir	h a m r a r t n ɪ r
hamrén	h a m r ɛ n
hamskiptum	h a m s c ɪ f t ʏ m
hamslausri	h a m s t l œy s r ɪ
hamstur	h a m s t ʏ r
hamsturinn	h a m s t ʏ r ɪ n
han	h aː n
hana	h aː n a
hand	h a n t
handa	h a n t a
handagangur	h a n t a k au ŋ k ʏ r
handahreyfingum	h a n t a r̥ ei v i ŋ k ʏ m
handahófi	h a n t a h ou v ɪ
handan	h a n t a n
handanna	h a n t a n a
handar	h a n t a r
handarhreyfingu	h a n t a r̥ ei v i ŋ k ʏ
handarkrikann	h a n t a r̥ kʰ r ɪ k a n
handarkrikanum	h a n t a r̥ kʰ r ɪ k a n ʏ m
handarkrikunum	h a n t a r̥ kʰ r ɪ k ɔ n ʏ m
handavinna	h a n t a v ɪ n a
handavinnu	h a n t a v ɪ n ʏ
handavinnustofurnar	h a n t a v ɪ n ʏ s t ɔ v ʏ r t n a r
handbolta	h a n t p ɔ l̥ t a
handboltakvöld	h a n t p ɔ l̥ t a kʰ v œ l t
handboltanum	h a n t p ɔ l̥ t a n ʏ m
handbolti	h a n t p ɔ l̥ t ɪ
handboltinn	h a n t p ɔ l̥ t ɪ n
handbragð	h a n t p r a ɣ ð
handbragði	h a n t p r a ɣ ð ɪ
handbremsa	h a n t p r ɛ m s a
handbært	h a n t p ai r̥ t
handbók	h a n t p ou k
handfanginu	h a n t f au ɲ c ɪ n ʏ
handfestu	h a n t f ɛ s t ʏ
handfylli	h a n t f ɪ t l ɪ
handfærarúlla	h a n t f ai r a r u l a
handfærarúllanna	h a n t f ai r a r u l a n a
handfærarúllna	h a n t f ai r a r u l n a
handfærarúllnanna	h a n t f ai r a r u l n a n a
handfærarúllu	h a n t f ai r a r u l ʏ
handfærarúllum	h a n t f ai r a r u l ʏ m
handfærarúllunum	h a n t f ai r a r u l ɔ n ʏ m
handfærarúllur	h a n t f ai r a r u l ʏ r
handfærarúllurnar	h a n t f ai r a r u l ʏ r t n a r
handhafa	h a n t h a v a
handhafar	h a n t h a v a r
handhafi	h a n t h a v ɪ
handjárna	h a n t j au r t n a
handjárnin	h a n t j au r t n ɪ n
handklæði	h a n t kʰ l ai ð ɪ
handklæðum	h a n t kʰ l ai ð ʏ m
handknattleik	h a n t kʰ n a h t l ei k
handknattleiksdeildar	h a n t kʰ n a h t l ei k s t ei l t a r
handknattleiksmaður	h a n t kʰ n a h t l ei k s m a ð ʏ r
handknattleiksráð	h a n t kʰ n a h t l ei k s r au ð
handknattleikssambandinu	h a n t kʰ n a h t l ei k s a m p a n t ɪ n ʏ
handknattleikur	h a n t kʰ n a h t l ei k ʏ r
handlaginn	h a n t l ai j ɪ n
handlegg	h a n t l ɛ k
handlegginn	h a n t l ɛ c ɪ n
handleggir	h a n t l ɛ c ɪ r
handleggjunum	h a n t l ɛ c ɔ n ʏ m
handleggsbrotnaði	h a n t l ɛ k s p r ɔ h t n a ð ɪ
handleggur	h a n t l ɛ k ʏ r
handleggurinn	h a n t l ɛ k ʏ r ɪ n
handleiðslu	h a n t l ei ð s t l ʏ
handmennt	h a n t m ɛ n̥ t
handrit	h a n t r ɪ t
handriti	h a n t r ɪ t ɪ
handritin	h a n t r ɪ t ɪ n
handritinu	h a n t r ɪ t ɪ n ʏ
handritið	h a n t r ɪ t ɪ ð
handritshöfundar	h a n t r ɪ t s h œ v ʏ n t a r
handritshöfundur	h a n t r ɪ t s h œ v ʏ n t ʏ r
handritum	h a n t r ɪ t ʏ m
handrið	h a n t r ɪ ð
handriðið	h a n t r ɪ ð ɪ ð
handrukkarinn	h a n t r ʏ h k a r ɪ n
hands	h a n t s
handskiptum	h a n t s c ɪ f t ʏ m
handsnyrting	h a n t s t n ɪ r̥ t i ŋ k
handsprengjur	h a n t s p r ei ɲ c ʏ r
handstýrt	h a n t s t i r̥ t
handtaka	h a n tʰ a k a
handtekin	h a n tʰ ɛ c ɪ n
handtekinn	h a n tʰ ɛ c ɪ n
handtekið	h a n tʰ ɛ c ɪ ð
handteknir	h a n tʰ ɛ h k n ɪ r
handteknu	h a n tʰ ɛ h k n ʏ
handtók	h a n tʰ ou k
handtóku	h a n tʰ ou k ʏ
handtökin	h a n tʰ œ c ɪ n
handtöku	h a n tʰ œ k ʏ
handtökuna	h a n tʰ œ k ʏ n a
handtökuskipun	h a n tʰ œ k ʏ s c ɪ p ʏ n
handuggum	h a n t ʏ k ʏ m
handverk	h a n t v ɛ r̥ k
handverki	h a n t v ɛ r̥ c ɪ
handverks	h a n t v ɛ r̥ k s
handverksmunum	h a n t v ɛ r̥ k s m ʏ n ʏ m
handvirkt	h a n t v ɪ r̥ t
handviss	h a n t v ɪ s
handíðaskóla	h a n t i ð a s k ou l a
hanga	h au ŋ k a
hangandi	h au ŋ k a n t ɪ
hangikjöt	h au ɲ c ɪ cʰ œ t
hangikjötsilm	h au ɲ c ɪ cʰ œ t s ɪ l m
hangir	h au ɲ c ɪ r
hangið	h au ɲ c ɪ ð
hangout	h a ŋ au t
hangover	h a ŋ ou v ɛ r
hangs	h au ŋ s
hangsa	h au ŋ s a
hangsast	h au ŋ s a s t
hangsað	h au ŋ s a ð
hangsi	h au ŋ s ɪ
hangsið	h au ŋ s ɪ ð
hanki	h au ɲ̊ c ɪ
hann	h a n
hanna	h a n a
hannah	h a n a
hannar	h a n a r
hannað	h a n a ð
hannaðar	h a n a ð a r
hannaði	h a n a ð ɪ
hannaðir	h a n a ð ɪ r
hannaður	h a n a ð ʏ r
hannes	h a n ɛ s
hannesar	h a n ɛ s a r
hannesdóttir	h a n ɛ s t ou h t ɪ r
hannesi	h a n ɛ s ɪ
hannesson	h a n ɛ s ɔ n
hannessonar	h a n ɛ s ɔ n a r
hannessyni	h a n ɛ s ɪ n ɪ
hannibal	h a n ɪ p a l
hannibalsson	h a n ɪ p a l s ɔ n
hannover	h a n ou v ɛ r
hans	h a n s
hansa	h a n s a
hansdóttir	h a n s t ou h t ɪ r
hansen	h a n s ɛ n
hansson	h a n s ɔ n
happ	h a h p
happdrætti	h a h p t r ai h t ɪ
happdrættis	h a h p t r ai h t ɪ s
happen	h a h p ɛ n
happened	h a h p ɛ n t
happening	h a h p ɛ n i ŋ
happens	h a h p ɛ n s
happiness	h a h p i n ɛ s
happs	h a h p s
happy	h a h p i
har	h a r
harald	h aː r a l t
haraldar	h aː r a l t a r
haraldi	h aː r a l t ɪ
haraldsdóttir	h aː r a l t s t ou h t ɪ r
haraldsdóttur	h aː r a l t s t ou h t ʏ r
haraldsson	h aː r a l t s ɔ n
haraldssonar	h aː r a l t s ɔ n a r
haraldssyni	h aː r a l t s ɪ n ɪ
haraldur	h aː r a l t ʏ r
haram	h aː r a m
harbour	h a r p ɔ r
hard	h a r t
hardcore	h a r t kʰ ɔ r
harden	h a r t ɛ n
hardy	h a r t i
hargreaves	h a r k r i v s
hari	h aː r i
harka	h a r̥ k a
harkaleg	h a r̥ k a l ɛ ɣ
harkalega	h a r̥ k a l ɛ ɣ a
harla	h a r t l a
harm	h a r m
harma	h a r m a
harmar	h a r m a r
harmi	h a r m ɪ
harmkvæli	h a r m kʰ v ai l ɪ
harmkvælum	h a r m kʰ v ai l ʏ m
harmleik	h a r m l ei k
harmleikur	h a r m l ei k ʏ r
harmonikkuleikari	h a r m ɔ n ɪ h k ʏ l ei k a r ɪ
harmur	h a r m ʏ r
harpa	h a r̥ p a
harper	h a r̥ p ɛ r
harrington	h a r i ŋ tʰ ɔ n
harris	h a r ɪ s
harrison	h a r ɪ s ɔ n
harry	h a r i
hart	h a r̥ t
hartnær	h a r̥ t n ai r
harvard	h a r v a r t
harvest	h a r v ɛ s t
harvey	h a r v i
harða	h a r ð a
harðan	h a r ð a n
harðar	h a r ð a r
harðardóttir	h a r ð a r̥ t ou h t ɪ r
harðardóttur	h a r ð a r t ou h t ʏ r
harðari	h a r ð a r ɪ
harðarson	h a r ð a r̥ s ɔ n
harðarsonar	h a r ð a r̥ s ɔ n a r
harðast	h a r ð a s t
harðastökki	h a r ð a s t œ h c ɪ
harðfisk	h a r ð f ɪ s k
harðfiskhjallur	h a r ð f ɪ s k ç a t l ʏ r
harðir	h a r ð ɪ r
harðlega	h a r ð l ɛ ɣ a
harðlæst	h a r ð l ai s t
harðlífi	h a r ð l i v ɪ
harðnandi	h a r t n a n t ɪ
harðneskjulegt	h a r t n ɛ s c ʏ l ɛ x t
harðri	h a r ð r ɪ
harðræði	h a r ð r ai ð ɪ
harðsperrur	h a r ð s p ɛ r ʏ r
harðstjórn	h a r ð s t j ou r t n̥
harður	h a r ð ʏ r
harðákveðin	h a r ð au kʰ v ɛ ð ɪ n
has	h a s
haslað	h a s t l a ð
hass	h a s
hassan	h a s a n
hasselbaink	h a s ɛ l p ai ŋ k
hassi	h a s ɪ
hat	h a t
hata	h aː t a
hatara	h aː t a r a
hate	h eiː t
hateful	h eiː t f u l
