WORD	SAMPA	PRON_VARIANT
gjaldmiðli	c a l t m I D l I	all
gjaldmiðlum	c a l t m I D l Y m	all
gjaldskrá	c a l s k r au	standard_cas
gjaldskrá	c a l t s k r au	standard_clear
gjaldskrár	c a l s k r au r	standard_cas
gjaldskrár	c a l t s k r au r	standard_clear
gjaldtöku	c a l t_h 9 k Y	standard_clear
gjaldtöku	c a l t_h 9 k_h Y	north_clear
gjaldþrot	c a l t T r O t	standard_clear
gjaldþrot	c a l t T r O t_h	north_clear
gjaldþrotaskipta	c a l t T r O t a s c I f t a	standard_clear
gjaldþrotaskipta	c a l t T r O t_h a s c I f t a	north_clear
gjaldþroti	c a l t T r O t I	standard_clear
gjaldþroti	c a l t T r O t_h I	north_clear
gjammandi	c a m a n t I	all
gjarn	c a r t n_0	standard_clear
gjarna	c a r t n a	all
gjarnan	c a r t n a n	standard_clear
gjá	c au:	all
gjábakkahraun	c au: p a h k a r_0 9i n	all
gjábakki	c au: p a h c I	all
gjávaðshylur	c au: v a D s h I l Y r	all
gjóa	c ou: a	all
gjóla	c ou: l a	all
gjöf	c 9: f	all
gjöfin	c 9: v I n	all
gjöfina	c 9: v I n a	all
gjöfinni	c 9: v I n I	all
gjöful	c 9: v Y l	all
gjöfull	c 9: v Y t l_0	all
gjöfunum	c 9: v O n Y m	all
gjögur	c 9: G Y r	all
gjöldum	c 9 l t Y m	all
gjörbreyta	c 9 r p r ei t a	standard_clear
gjörbreyta	c 9 r p r ei t_h a	north_clear
gjörbreytt	c 9 r p r ei h t	all
gjörgæsludeild	c 9 r c ai s t l Y t ei l t	all
gjörgæsludeilda	c 9 r c ai s t l Y t ei l t a	all
gjörgæslunni	c 9 r c ai s t l Y n I	all
gjörla	c 9 r t l a	all
gjörn	c 9 r t n_0	standard_clear
gjörning	c 9 r t n i N k	standard_clear
gjörningsbréfi	c 9 r t n i N s p r j E v I	all
gjörningur	c 9 r t n i N k Y r	standard_clear
gjörsamlega	c 9 r_0 s a m l E G a	standard_clear
gjört	c 9 r_0 t	all
gjörðist	c 9 r D I s t	all
gjörólík	c 9: r ou l i k	standard_clear
gjörólík	c 9: r ou l i k_h	north_clear
gjörónýtt	c 9: r ou n i h t	all
gjúkadóttur	c u: k a t ou h t Y r	standard_clear
gjúkadóttur	c u: k_h a t ou h t Y r	north_clear
gladdist	k l a t I s t	all
glampa	k l a m p_h a	northeast_clear
glampa	k l a m_0 p a	standard_clear
glampandi	k l a m p_h a n t I	northeast_clear
glampandi	k l a m_0 p a n t I	standard_clear
glampann	k l a m p_h a n	northeast_clear
glampann	k l a m_0 p a n	standard_clear
glampanum	k l a m p_h a n Y m	northeast_clear
glampanum	k l a m_0 p a n Y m	standard_clear
glampar	k l a m p_h a r	northeast_clear
glampar	k l a m_0 p a r	standard_clear
glampaði	k l a m p_h a D I	northeast_clear
glampaði	k l a m_0 p a D I	standard_clear
glampi	k l a m p_h I	northeast_clear
glampi	k l a m_0 p I	standard_clear
glampinn	k l a m p_h I n	northeast_clear
glampinn	k l a m_0 p I n	standard_clear
glamri	k l a m r I	all
glansaði	k l a n s a D I	all
glanshliðina	k l a n s l_0 I D I n a	all
glanspappír	k l a n s p_h a h p i r	all
glapræði	k l a: p r ai D I	standard_clear
glapræði	k l a: p_h r ai D I	north_clear
glas	k l a: s	all
glasinu	k l a: s I n Y	all
glata	k l a: t a	standard_clear
glata	k l a: t_h a	north_clear
glataði	k l a: t a D I	standard_clear
glataði	k l a: t_h a D I	north_clear
glataðist	k l a: t a D I s t	standard_clear
glataðist	k l a: t_h a D I s t	north_clear
glatt	k l a h t	all
glaðar	k l a: D a r	all
glaðari	k l a: D a r I	all
glaðlegri	k l a D l E G r I	all
glaðsinna	k l a D s I n a	all
glaðst	k l a D s t	all
glaður	k l a: D Y r	all
glaðvær	k l a D v ai r	all
glefsur	k l E f s Y r	all
gleiður	k l ei: D Y r	all
glenna	k l E n a	all
glennti	k l E n_0 t I	standard_clear
gler	k l E: r	all
gleraugu	k l E: r 9i G Y	all
glerdyrnar	k l E r t I r t n a r	standard_clear
glerlist	k l E r l I s t	all
glerskurður	k l E r_0 s k Y r D Y r	standard_clear
glerskurður	k l E s k Y r D Y r	standard_cas
glerveggjum	k l E r v E c Y m	all
glerárkirkja	k l E: r au r c_h I r_0 c a	all
glettin	k l E h t I n	all
glettni	k l E h t n I	all
gleyma	k l ei: m a	all
gleymdi	k l ei m t I	all
gleymist	k l ei: m I s t	all
gleymskunnar	k l ei m s k Y n a r	all
gleymt	k l ei m t_h	northeast_clear
gleymt	k l ei m_0 t	standard_clear
gleypa	k l ei: p a	standard_clear
gleypa	k l ei: p_h a	north_clear
gleypt	k l ei f t	all
gleypti	k l ei f t I	all
gleði	k l E: D I	all
gleðidagurinn	k l E: D I t a G Y r I n	all
gleðigjafi	k l E: D I c a v I	all
gleðigúmmí	k l E: D I k u m i	all
gleðileg	k l E: D I l E G	all
gleðilegra	k l E: D I l E G r a	all
gleðilegt	k l E: D I l E x t	all
gleðin	k l E: D I n	all
gleðisnauður	k l E: D I s t n 9i D Y r	all
gleðisveit	k l E: D I s v ei t	standard_clear
gleðisveitanna	k l E: D I s v ei t a n a	standard_clear
gleðisveitanna	k l E: D I s v ei t_h a n a	north_clear
gleðja	k l E D j a	all
gleðjast	k l E D j a s t	all
glimmer	k l I m E r	all
glit	k l I: t	standard_clear
glit	k l I: t_h	north_clear
glitni	k l I h t n I	all
glitra	k l I: t r a	standard_clear
glitra	k l I: t_h r a	north_clear
glitrandi	k l I: t r a n t I	standard_clear
glitrandi	k l I: t_h r a n t I	north_clear
glitrar	k l I: t r a r	standard_clear
glitrar	k l I: t_h r a r	north_clear
glitraði	k l I: t r a D I	standard_clear
glitraði	k l I: t_h r a D I	north_clear
glitruðu	k l I: t r Y D Y	standard_clear
glitruðu	k l I: t_h r Y D Y	north_clear
glitta	k l I h t a	all
gljámistill	k l j au: m I s t I t l_0	all
gljáðu	k l j au: D Y	all
gljúfur	k l j u: v Y r	all
global	k l ou: p a l	all
glott	k l O h t	all
glottandi	k l O h t a n t I	all
glotti	k l O h t I	all
glugga	k l Y k a	all
gluggakistu	k l Y k a c_h I s t Y	all
gluggakistuna	k l Y k a c_h I s t Y n a	all
gluggalaus	k l Y k a l 9i s	all
gluggalausri	k l Y k a l 9i s r I	all
gluggana	k l Y k a n a	all
gluggann	k l Y k a n	all
glugganna	k l Y k a n a	all
glugganum	k l Y k a n Y m	all
gluggapóstinn	k l Y k a p_h ou s t I n	all
gluggarúðurnar	k l Y k a r u D Y r t n a r	standard_clear
gluggasláttur	k l Y k a s t l au h t Y r	all
gluggatjaldanna	k l Y k a t_h j a l t a n a	all
gluggatjöld	k l Y k a t_h j 9 l t	all
gluggatjöldin	k l Y k a t_h j 9 l t I n	all
gluggatjöldum	k l Y k a t_h j 9 l t Y m	all
gluggatjöldunum	k l Y k a t_h j 9 l t Y n Y m	all
gluggi	k l Y c I	all
glugginn	k l Y c I n	all
gluggum	k l Y k Y m	all
glundur	k l Y n t Y r	all
glymur	k l I: m Y r	all
glápa	k l au: p a	standard_clear
glápa	k l au: p_h a	north_clear
glápir	k l au: p I r	standard_clear
glápir	k l au: p_h I r	north_clear
gláptu	k l au f t Y	all
glæpa	k l ai: p a	standard_clear
glæpa	k l ai: p_h a	north_clear
glæpamaður	k l ai: p a m a D Y r	standard_clear
glæpamaður	k l ai: p_h a m a D Y r	north_clear
glæpamönnum	k l ai: p a m 9 n Y m	standard_clear
glæpamönnum	k l ai: p_h a m 9 n Y m	north_clear
glæpastarfsemi	k l ai: p a s t a r v s E m I	standard_clear
glæpastarfsemi	k l ai: p_h a s t a r v s E m I	north_clear
glæpir	k l ai: p I r	standard_clear
glæpir	k l ai: p_h I r	north_clear
glæpsamlegt	k l ai p s a m l E x t	all
glæpur	k l ai: p Y r	standard_clear
glæpur	k l ai: p_h Y r	north_clear
glær	k l ai: r	all
glæra	k l ai: r a	all
glæsileg	k l ai: s I l E G	all
glæsilega	k l ai: s I l E G a	all
glæsilegir	k l ai: s I l ei j I r	all
glæsilegt	k l ai: s I l E x t	all
glæsilegu	k l ai: s I l E G Y	all
glæsilegur	k l ai: s I l E G Y r	all
glæsimenni	k l ai: s I m E n I	all
glæta	k l ai: t a	standard_clear
glæta	k l ai: t_h a	north_clear
glæða	k l ai: D a	all
glíma	k l i: m a	all
glímt	k l i m_0 t	standard_clear
gló	k l ou:	all
glódís	k l ou: t i s	all
glóð	k l ou: D	all
glóðarauga	k l ou: D a r 9i G a	all
glögg	k l 9 k	all
glögglega	k l 9 k l E G a	all
glöggskyggn	k l 9 k s c I k n_0	all
glöggva	k l 9 k v a	all
glöggvunar	k l 9 k v Y n a r	all
glömpuðu	k l 9 m p_h Y D Y	northeast_clear
glömpuðu	k l 9 m_0 p Y D Y	standard_clear
glösin	k l 9: s I n	all
glötun	k l 9: t Y n	standard_clear
glötun	k l 9: t_h Y n	north_clear
glötuð	k l 9: t Y D	standard_clear
glötuð	k l 9: t_h Y D	north_clear
gnarr	k n a r	all
gná	k n au:	all
gnæfði	k n ai v D I	all
gnægð	k n ai G D	all
gnístan	k n i s t a n	all
gnótt	k n ou h t	all
gogga	k O k a	all
goggi	k O c I	all
gogginum	k O c I n Y m	all
goggur	k O k Y r	all
goggurinn	k O k Y r I n	all
golden	k ou l t E n	all
goldið	k O l t I D	all
golf	k O l f	all
golfhringir	k O l f r_0 i J c I r	all
golfinu	k O l v I n Y	all
golfkennari	k O l f c_h E n a r I	all
golfklúbbi	k O l f k_h l u p I	all
golfklúbbnum	k O l f k_h l u p n Y m	all
golfklúbbur	k O l f k_h l u p Y r	all
golfspilakassi	k O l f s p I l a k_h a s I	standard_clear
golfspilakassi	k O l s p I l a k_h a s I	standard_cas
golfviðburður	k O l v I D p Y r D Y r	all
golfvöll	k O l v 9 t l_0	all
golfvöllinn	k O l v 9 t l I n	all
golfvöllur	k O l v 9 t l Y r	all
goltreyja	k O l t_h r ei j a	all
good	k u t	all
gordon	k O r t O n	all
gormur	k O r m Y r	all
gormælt	k O r m ai l_0 t	all
gorta	k O r_0 t a	all
gos	k O: s	all
gosbeltinu	k O s p E l_0 t I n Y	all
gosbrunnur	k O s p r Y n Y r	all
gosdrykk	k O s t r I h k	all
gosi	k O: s I	all
gosið	k O: s I D	all
gosstöðin	k O: s t 9 D I n	all
gott	k O h t	all
gottskálk	k O h t s k au l_0 k	standard_clear
gottskálksson	k O h t s k au l k s O n	northeast_clear
gottskálksson	k O h t s k au l s O n	standard_cas
gottskálksson	k O h t s k au l_0 k s O n	standard_clear
gottskálksson	k O h t s k au l_0 s O n	standard_cas
gottskálkssyni	k O h t s k au l_0 k s I n I	standard_clear
gottskálkssyni	k O h t s k au l_0 s I n I	standard_cas
goðafræði	k O: D a f r ai D I	all
grafa	k r a: v a	all
grafalvarlegt	k r a: v a l v a r l E x t	all
grafalvarlegur	k r a: v a l v a r l E G Y r	all
grafar	k r a: v a r	all
grafararnir	k r a: v a r a r t n I r	standard_cas
grafarholtinu	k r a: v a r_0 h O l_0 t I n Y	all
grafarholts	k r a: v a r h O l_0 s	standard_cas
grafarholts	k r a: v a r h O l_0 t s	standard_clear
grafarinnar	k r a: v a r I n a r	all
grafartektin	k r a: v a r_0 t_h E x t I n	all
grafarvog	k r a: v a r v O G	all
grafarvogi	k r a: v a r v Oi j I	all
grafarvogs	k r a: v a r v O x s	all
grafarvogskirkja	k r a: v a r v O x s c_h I r_0 c a	all
grafarþögn	k r a: v a r T 9 k n_0	all
grafast	k r a: v a s t	all
grafið	k r a: v I D	all
grafkyrr	k r a f c_h I r	all
grafkyrrir	k r a f c_h I r I r	all
grafreitnum	k r a v r ei h t n Y m	all
grafskrift	k r a f s k r I f t	all
grafíkmöppum	k r a: f i k m 9 h p Y m	all
grafíska	k r a: f i s k a	all
graham	k r ei: a m	all
grallari	k r a t l a r I	all
gramm	k r a m	all
gramma	k r a m a	all
grammófón	k r a m ou f ou n	all
gramt	k r a m_0 t	standard_clear
granatepli	k r a: n a t E h p l I	standard_clear
granatepli	k r a: n a t_h E h p l I	north_clear
grand	k r a n t	all
granda	k r a n t a	all
grandavegi	k r a n t a v ei j I	all
grandskoðaði	k r a n s k O D a D I	standard_cas
grandskoðaði	k r a n t s k O D a D I	standard_clear
granna	k r a n a	all
grannt	k r a n_0 t	standard_clear
grannvaxin	k r a n v a k s I n	all
grant	k r a n_0 t	standard_clear
graníti	k r a: n i t I	standard_clear
graníti	k r a: n i t_h I	north_clear
gras	k r a: s	all
grasdokkir	k r a: s t O h c I r	all
grasi	k r a: s I	all
grasigróin	k r a: s I k r ou I n	all
graskersættinni	k r a s c E r_0 s ai h t I n I	all
graskinn	k r a s c_h I n	all
graslendi	k r a s t l E n t I	all
grasrótarmenningu	k r a: s r ou t a r m E n i N k Y	standard_clear
grasrótarmenningu	k r a: s r ou t_h a r m E n i N k Y	north_clear
grass	k r a s	all
grautnum	k r 9i h t n Y m	all
grautur	k r 9i: t Y r	standard_clear
grautur	k r 9i: t_h Y r	north_clear
gredda	k r E t a	all
greftrunar	k r E f t r Y n a r	all
greidd	k r ei t	all
greiddan	k r ei t a n	all
greiddar	k r ei t a r	all
greiddir	k r ei t I r	all
greiddist	k r ei t I s t	all
greiddu	k r ei t Y	all
greiddur	k r ei t Y r	all
greifans	k r ei: v a n s	all
greifingi	k r ei: v i J c I	all
greifinn	k r ei: v I n	all
greikkaði	k r ei h k a D I	all
grein	k r ei: n	all
greina	k r ei: n a	all
greinanna	k r ei: n a n a	all
greinar	k r ei: n a r	all
greinargerð	k r ei: n a r c E r D	all
greinargerðinni	k r ei: n a r_0 c E r D I n I	all
greinarmun	k r ei: n a r m Y n	all
greinarstúfsins	k r ei: n a r_0 s t u f s I n s	standard_clear
greinarstúfsins	k r ei: n a s t u f s I n s	standard_cas
greind	k r ei n t	all
greindarlegt	k r ei n t a r l E x t	all
greindi	k r ei n t I	all
greindist	k r ei n t I s t	all
greindu	k r ei n t Y	all
greini	k r ei: n I	all
greinilega	k r ei: n I l E G a	all
greinilegar	k r ei: n I l E G a r	all
greinin	k r ei: n I n	all
greining	k r ei: n i N k	all
greiningar	k r ei: n i N k a r	all
greiningardeild	k r ei: n i N k a r t ei l t	all
greininni	k r ei: n I n I	all
greinir	k r ei: n I r	all
greinst	k r ei n s t	all
greint	k r ei n t_h	northeast_clear
greint	k r ei n_0 t	standard_clear
greinum	k r ei: n Y m	all
greip	k r ei: p	standard_clear
greip	k r ei: p_h	north_clear
greiða	k r ei: D a	all
greiðast	k r ei: D a s t	all
greiði	k r ei: D I	all
greiðir	k r ei: D I r	all
greiðist	k r ei: D I s t	all
greiðsla	k r ei D s t l a	all
greiðslan	k r ei D s t l a n	all
greiðslna	k r ei D s t l n a	all
greiðslu	k r ei D s t l Y	all
greiðsluaðlögun	k r ei D s t l Y a D l 9 G Y n	all
greiðslubyrði	k r ei D s t l Y p I r D I	all
greiðsludags	k r ei D s t l Y t a x s	all
greiðslukort	k r ei D s t l Y k_h O r_0 t	standard_clear
greiðslukort	k r ei s t l Y k_h O r_0 t	standard_cas
greiðslumark	k r ei D s t l Y m a r_0 k	all
greiðslumati	k r ei D s t l Y m a t I	standard_clear
greiðslumati	k r ei D s t l Y m a t_h I	north_clear
greiðslumatið	k r ei D s t l Y m a t I D	standard_clear
greiðslumatið	k r ei D s t l Y m a t_h I D	north_clear
greiðslumatsskýrslu	k r ei D s t l Y m a t s c i r_0 s t l Y	standard_clear
greiðslumatsskýrslu	k r ei D s t l Y m a t s c i s t l Y	standard_cas
greiðslur	k r ei D s t l Y r	all
greiðslurnar	k r ei D s t l Y r t n a r	standard_clear
greiðslurnar	k r ei D s t l Y t n a r	standard_cas
greiðsluseðill	k r ei D s t l Y s E D I t l_0	all
greiðvikinn	k r ei D v I c I n	standard_clear
greiðvikinn	k r ei D v I c_h I n	north_clear
greni	k r E: n I	all
grenja	k r E n j a	all
grenjaðarstað	k r E n j a D a r_0 s t a D	standard_clear
grenjaðarstað	k r E n j a D a s t a D	standard_cas
grennd	k r E n t	all
grennslast	k r E n s t l a s t	all
grensáskirkja	k r E n s au s c_h I r_0 c a	all
grensásveg	k r E n s au s v E G	all
grensásvegi	k r E n s au s v ei j I	all
greta	k r E: t a	standard_clear
greta	k r E: t_h a	north_clear
grey	k r ei:	all
greypt	k r ei f t	all
greyptra	k r ei f t r a	all
gribba	k r I p a	all
grikki	k r I h c I	all
grikkir	k r I h c I r	all
grikkirnir	k r I h c I r t n I r	standard_clear
grikkja	k r I h c a	all
grikkjanna	k r I h c a n a	all
grikkland	k r I h k l a n t	all
grikklandi	k r I h k l a n t I	all
grill	k r I l	all
grillaðar	k r I l a D a r	all
grillinu	k r I l I n Y	all
grillir	k r I t l I r	all
grillostur	k r I l O s t Y r	all
grillur	k r I t l Y r	all
grimm	k r I m	all
grimma	k r I m a	all
grimmd	k r I m t	all
grimmdar	k r I m t a r	all
grimmt	k r I m t_h	northeast_clear
grimmt	k r I m_0 t	standard_clear
grimmu	k r I m Y	all
grimmum	k r I m Y m	all
grimmur	k r I m Y r	all
grind	k r I n t	all
grindavík	k r I n t a v i k	standard_clear
grindavík	k r I n t a v i k_h	north_clear
grindavíkurvelli	k r I n t a v i k Y r v E t l I	standard_clear
grindavíkurvelli	k r I n t a v i k_h Y r v E t l I	north_clear
grindvíkingar	k r I n t v i c i N k a r	standard_clear
grindvíkingar	k r I n t v i c_h i N k a r	north_clear
gripakofinn	k r I: p a k_h O v I n	standard_clear
gripakofinn	k r I: p_h a k_h O v I n	north_cas
gripið	k r I: p I D	standard_clear
gripið	k r I: p_h I D	north_clear
gripnir	k r I h p n I r	all
gripur	k r I: p Y r	standard_clear
gripur	k r I: p_h Y r	north_clear
grisju	k r I: s j Y	all
grjóthnullungum	k r j ou t n_0 Y t l u N k Y m	all
group	k r u h p	all
grugg	k r Y k	all
gruggugt	k r Y k Y x t	all
gruna	k r Y: n a	all
grunaði	k r Y: n a D I	all
grunaðir	k r Y: n a D I r	all
grunaður	k r Y: n a D Y r	all
grund	k r Y n t	all
grundarfirði	k r Y n t a r f I r D I	all
grundartanga	k r Y n t a r_0 t_h au N k a	all
grundvallaratriði	k r Y n t v a t l a r a t r I D I	standard_clear
grundvallaratriðum	k r Y n t v a t l a r a t r I D Y m	all
grundvallareining	k r Y n t v a t l a r ei n i N k	all
grundvallarreglur	k r Y n t v a t l a r E k l Y r	all
grundvallarsamþykkt	k r Y n t v a t l a r_0 s a m T I x t	all
grundvelli	k r Y n t v E t l I	all
grundvöll	k r Y n t v 9 t l_0	all
grunn	k r Y n	all
grunnfleti	k r Y n f l E t I	standard_clear
grunnfleti	k r Y n f l E t_h I	north_clear
grunngildi	k r Y J c I l t I	all
grunnhreinsun	k r Y n r_0 ei n s Y n	all
grunnkerfa	k r Y n c_h E r v a	all
grunnmenntun	k r Y n m E n_0 t Y n	standard_clear
grunnrannsóknir	k r Y n r a n s ou h k n I r	all
grunnskertur	k r Y n s c E r_0 t Y r	all
grunnskólaaldri	k r Y n s k ou l a a l t r I	all
grunnskólabarna	k r Y n s k ou l a p a r t n a	standard_clear
grunnskólakennara	k r Y n s k ou l a c_h E n a r a	all
grunnskólanefndar	k r Y n s k ou l a n E m t a r	all
grunnskólans	k r Y n s k ou l a n s	all
grunnskóli	k r Y n s k ou l I	all
grunnskólum	k r Y n s k ou l Y m	all
grunnt	k r Y n t_h	northeast_clear
grunnt	k r Y n_0 t	standard_clear
grunnur	k r Y n Y r	all
grunnurinn	k r Y n Y r I n	all
grunnverð	k r Y n v E r D	all
gruns	k r Y n s	all
grunsamlegt	k r Y n s a m l E x t	all
grá	k r au:	all
grágæs	k r au: c ai s	all
gráleitt	k r au: l ei h t	all
grána	k r au: n a	all
grár	k r au: r	all
grárri	k r au r I	all
grásleppunet	k r au s t l E h p Y n E t	standard_clear
grásleppunet	k r au s t l E h p Y n E t_h	north_clear
grásvepp	k r au: s v E h p	all
gráta	k r au: t a	standard_clear
gráta	k r au: t_h a	north_clear
grátklökkri	k r au t k l 9 h k r I	all
grátlega	k r au t l E G a	all
grátt	k r au h t	all
gráða	k r au: D a	all
græddi	k r ai t I	all
græddu	k r ai t Y	all
græja	k r ai: j a	all
græn	k r ai: n	all
grængylltan	k r ai n c I l_0 t a n	all
grænir	k r ai: n I r	all
grænklæddu	k r ai n k_h l ai t Y	all
grænkuðu	k r ai N_0 k Y D Y	all
grænland	k r ai n l a n t	all
grænlandi	k r ai n l a n t I	all
grænlands	k r ai n l a n s	standard_cas
grænlands	k r ai n l a n t s	standard_clear
grænlandsdeildar	k r ai n l a n s t ei l t a r	standard_cas
grænlandsdeildar	k r ai n l a n t s t ei l t a r	standard_clear
grænleitt	k r ai n l ei h t	all
grænlendinga	k r ai n l E n t i N k a	all
grænmeti	k r ai n m E t I	standard_clear
grænmeti	k r ai n m E t_h I	north_clear
grænmetisæta	k r ai n m E t I s ai t a	standard_clear
grænmetisæta	k r ai n m E t_h I s ai t_h a	north_clear
grænmetisætur	k r ai n m E t I s ai t Y r	standard_clear
grænmetisætur	k r ai n m E t_h I s ai t_h Y r	north_clear
grænn	k r ai t n_0	all
grænna	k r ai t n a	all
græns	k r ai n s	all
grænt	k r ai n t_h	northeast_clear
grænt	k r ai n_0 t	standard_clear
grænu	k r ai: n Y	all
grænum	k r ai: n Y m	all
græða	k r ai: D a	all
græðgi	k r ai D c I	all
gréta	k r j E: t a	standard_clear
gréta	k r j E: t_h a	north_clear
grétarsson	k r j E: t a r_0 s O n	standard_clear
grétarsson	k r j E: t_h a r_0 s O n	north_clear
grétarssonar	k r j E: t a r_0 s O n a r	standard_clear
grétarssonar	k r j E: t_h a r_0 s O n a r	north_clear
grétarssyni	k r j E: t a r_0 s I n I	standard_clear
grétarssyni	k r j E: t_h a r_0 s I n I	north_clear
gríma	k r i: m a	all
grímsnesi	k r i m s t n E s I	all
grímsstaðavör	k r i m s t a D a v 9 r	all
grímur	k r i: m Y r	all
grín	k r i: n	all
gríngáfu	k r i n k au v Y	all
grínkaflinn	k r i: n k_h a p l I n	all
grípa	k r i: p a	standard_clear
grípa	k r i: p_h a	north_clear
grípur	k r i: p Y r	standard_clear
grípur	k r i: p_h Y r	north_clear
gríska	k r i s k a	all
gríðarleg	k r i: D a r l E G	all
gríðarlega	k r i: D a r l E G a	all
gríðarlegan	k r i: D a r l E G a n	all
gríðarlegt	k r i: D a r l E x t	all
gríðarlegu	k r i: D a r l E G Y	all
gríðarlegur	k r i: D a r l E G Y r	all
gríðarsterkt	k r i: D a r_0 s t E r_0 t	standard_clear
gríðarsterkt	k r i: D a s t E r_0 t	standard_cas
gríðarstórt	k r i: D a r_0 s t ou r_0 t	standard_clear
gríðarstórt	k r i: D a s t ou r_0 t	standard_cas
gríðarstóru	k r i: D a r_0 s t ou r Y	standard_clear
gríðarstóru	k r i: D a s t ou r Y	standard_cas
gró	k r ou:	all
gróa	k r ou: a	all
gróf	k r ou: f	all
grófar	k r ou: a r	standard_cas
grófar	k r ou: v a r	standard_clear
grófarhús	k r ou: v a r h u s	all
grófarhúss	k r ou: v a r_0 h u s	all
gróffóðursins	k r ou f ou D Y r_0 s I n s	all
grófkristölluð	k r ou f k_h r I s t 9 t l Y D	all
grófofið	k r ou: v O v I D	all
gróft	k r ou f t	all
grófum	k r ou: Y m	standard_cas
grófum	k r ou: v Y m	standard_clear
grófur	k r ou: Y r	standard_cas
grófur	k r ou: v Y r	standard_clear
gróttu	k r ou h t Y	all
gróttuvelli	k r ou h t Y v E t l I	all
gróði	k r ou: D I	all
gróður	k r ou: D Y r	all
gróðurhús	k r ou: D Y r h u s	all
gróðurhúsalofttegunda	k r ou: D Y r_0 h u s a l O f t E G Y n t a	all
gróðurhúsalofttegunda	k r ou: D Y r_0 h u s a l O f t_h E G Y n t a	all
gróðurinn	k r ou: D Y r I n	all
gróðursetja	k r ou: D Y r_0 s E t j a	standard_clear
gróðursetja	k r ou: D Y r_0 s E t_h j a	north_clear
gróðursetning	k r ou: D Y r s E h t n i N k	all
gróðursetningu	k r ou: D Y r_0 s E h t n i N k Y	standard_clear
gröf	k r 9: f	all
grömmum	k r 9 m Y m	all
grön	k r 9: n	all
gröndal	k r 9 n t a l	all
grúppukeppninni	k r u h p Y c_h E h p n I n I	all
grúppum	k r u h p Y m	all
grúppuna	k r u h p Y n a	all
grútskítugt	k r u t s c i t Y x t	standard_clear
grútskítugt	k r u t s c i t_h Y x t	north_clear
grýla	k r i: l a	all
grýta	k r i: t a	standard_clear
grýta	k r i: t_h a	north_clear
grýtta	k r i h t a	all
gubbað	k Y p a D	all
gubbaði	k Y p a D I	all
gufa	k Y: v a	all
gufu	k Y: v Y	all
gufutogara	k Y: v Y t_h O G a r a	all
gugga	k Y k a	all
guggin	k Y c I n	all
guggnað	k Y k n a D	all
guggu	k Y k Y	all
gul	k Y: l	all
gula	k Y: l a	all
gulgrænn	k Y l k r ai t n_0	all
gull	k Y t l_0	all
gullberg	k Y t l_0 p E r k	all
gullbrúðkaup	k Y t l_0 p r u D k_h 9i p	standard_clear
gullbrúðkaup	k Y t l_0 p r u D k_h 9i p_h	north_clear
gulleit	k Y l ei t	standard_clear
gulleit	k Y l ei t_h	north_clear
gulleitt	k Y l ei h t	all
gullfoss	k Y t l_0 f O s	all
gullgrafaranna	k Y t l_0 k r a v a r a n a	all
gullgrafararnir	k Y t l_0 k r a v a r a r t n I r	standard_clear
gullhring	k Y t l r_0 i N k	all
gullhömrum	k Y t l_0 h 9 m r Y m	all
gulli	k Y l I	all
gulli	k Y t l I	all
gullin	k Y t l I n	all
gullinn	k Y t l I n	all
gullkarfi	k Y t l_0 k_h a r v I	all
gullkorn	k Y t l k_h O r t n_0	all
gulllóa	k Y t l l ou a	all
gullnu	k Y t l n Y	all
gulls	k Y l s	all
gullsins	k Y t l_0 s I n s	all
gullsmára	k Y t l_0 s m au r a	all
gullsmárabrids	k Y t l_0 s m au r a p r I t s	all
gullstrandarinnar	k Y t l_0 s t r a n t a r I n a r	all
gullu	k Y l Y	all
gullverðlaun	k Y t l v E r D l 9i n	all
gullverðlauna	k Y t l v E r D l 9i n a	all
gullæðanna	k Y t l ai D a n a	all
gullæðinu	k Y t l ai D I n Y	all
gullæðið	k Y t l ai D I D	all
gult	k Y l_0 t	all
gulur	k Y: l Y r	all
gulvíðir	k Y l v i D I r	all
gum	k Y: m	all
gumma	k Y m a	all
gummi	k Y m I	all
gunnar	k Y n a r	all
gunnari	k Y n a r I	all
gunnars	k Y n a r_0 s	all
gunnarsdóttir	k Y n a r_0 s t ou h t I r	standard_clear
gunnarsdóttir	k Y n a s t ou h t I r	standard_cas
gunnarsdóttur	k Y n a r_0 s t ou h t Y r	all
gunnarsholti	k Y n a r_0 s h O l_0 t I	all
gunnarsson	k Y n a r_0 s O n	all
gunnarssonar	k Y n a r_0 s O n a r	all
gunnarssyni	k Y n a r_0 s I n I	all
gunnhildar	k Y n h I l t a r	all
gunnlaugi	k Y n l 9i j I	all
gunnlaugs	k Y n l 9i x s	all
gunnlaugsdóttir	k Y n l 9i x s t ou h t I r	all
gunnlaugssonar	k Y n l 9i x s O n a r	all
gunnlaugssögu	k Y n l 9i x s 9 G Y	all
gunnlaugur	k Y n l 9i G Y r	all
gunnleifsson	k Y n l ei f s O n	all
gunnsteinn	k Y n s t ei t n_0	all
gunnsteinsdóttir	k Y n s t ei n s t ou h t I r	all
gunnþórunn	k Y n T ou r Y n	all
gustur	k Y s t Y r	all
gutlandi	k Y h t l a n t I	all
gutlaði	k Y h t l a D I	all
guttarnir	k Y h t a r t n I r	standard_clear
guð	k v Y: D	all
guðbergsson	k v Y D p E r k s O n	standard_clear
